match_id,season,venue,team_1,team_2,toss_winner,toss_decision,win_by_runs,win_by_wickets,winner
1,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,35,0,1
2,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,0,7,1
3,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,0,10,0
4,2017,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,0,6,1
5,2017,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,15,0,1
6,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,0,9,1
7,2017,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,0,4,1
8,2017,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,0,8,1
9,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,97,0,0
10,2017,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,0,4,1
11,2017,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,0,8,1
12,2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,0,4,0
13,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,0,7,1
14,2017,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,17,0,1
15,2017,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,51,0,1
16,2017,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,0,6,1
17,2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,27,0,0
18,2017,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,0,4,0
19,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,5,0,1
20,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,21,0,0
21,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,15,0,1
22,2017,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,0,8,0
23,2017,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,0,4,0
25,2017,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,14,0,1
24,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,field,0,6,1
26,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,26,0,0
27,2017,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,82,0,1
28,2017,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,3,0,0
30,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,0,7,0
31,2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,0,7,0
32,2017,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,0,7,1
33,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,26,0,0
34,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,61,0,1
35,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,0,0,-1
36,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,field,0,10,1
37,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,48,0,1
38,2017,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,0,5,1
39,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,field,0,5,1
40,2017,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,field,0,6,1
41,2017,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,0,4,0
42,2017,Feroz Shah Kotla,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,field,0,7,1
43,2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,19,0,0
44,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,field,12,0,0
45,2017,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,146,0,0
46,2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,0,6,0
47,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,0,6,0
48,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,0,7,1
49,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,14,0,1
50,2017,Green Park,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,0,2,0
51,2017,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,7,0,0
52,2017,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,7,0,1
53,2017,Green Park,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,8,0
54,2017,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,9,0,0
55,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,field,0,9,1
56,2017,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,10,0,0
1000,2017,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,20,0,0
1001,2017,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,0,7,0
1002,2017,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,0,6,1
1003,2017,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,1,0,1
1,2018,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,0,1,0
2,2018,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,0,6,0
3,2018,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,0,4,0
4,2018,Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,9,0
5,2018,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,0,5,0
6,2018,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,10,0,1
7,2018,Rajiv Gandhi International Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,1,0
8,2018,M.Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,4,0
9,2018,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,0,7,0
10,2018,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,5,0
